Course ID;Course Title;Is Paid;Price;Subscribers;Reviews;Lectures;Level;Duration;Publish Date;Subject,,,,,,
3354090;Learn C# and make a videogame with Unity;TRUE;$199,00;80.549;467;83;Beginner Level;12.6 hours;2020-11-13;Web Development,,,,,
875974;The Complete Cyber Security Course : Network Security!;TRUE;$119,00;153.600;14.401;106;All Levels;12.4 hours;2016-07-08;Cyber Security,,,,,
2323470;Business Communication Skills: Business Writing & Grammar;TRUE;$119,00;52.794;11.453;311;Beginner Level;16.7 hours;2019-06-12;Public Speaking,,,,,
342220;Microsoft Word 2019 for All Levels + Job Guide;TRUE;$19,00;19.049;989;37;All Levels;3.8 hours;2014-11-15;Excel Basic,,,,,
1266932;Complete Ukulele Beginner Course;TRUE;$94,00;10.978;1.857;180;All Levels;5 hours;2017-09-26;Musical Instruments,,,,,
2448944;Microsoft Office Tips and Tricks: Get in Pro Mode;TRUE;$99,00;40.198;446;11;All Levels;40 mins;2019-07-11;Excel Basic,,,,,
417358;Negotiate Salary: Increase/Double Your Pay In 3-6 Months!;TRUE;$94,00;17.601;99;24;All Levels;1.8 hours;2015-02-12;Public Speaking,,,,,
419658;eBay Drop Shipping Guide with No Inventory - Work From Home;TRUE;$189,00;41.458;9.474;86;Beginner Level;6.5 hours;2015-03-12;Business Finance,,,,,
555384;70-461, 761: Querying Microsoft SQL Server with Transact-SQL;TRUE;$199,00;63.645;12.358;275;All Levels;29.4 hours;2015-07-16;Cyber Security,,,,
1139400;How to Install a Free SSL Certificate using Let's Encrypt;TRUE;$94,00;125.670;995;20;Beginner Level;1 hour;2017-03-09;Web Development,,,,,
517148;Acoustic Fingerstyle Guitar Course: Beginner to Advanced;TRUE;$199,00;10.702;235;69;All Levels;4.1 hours;2015-08-04;Musical Instruments,,,,,
707876;Learn Professional 2D Game Graphic Design in Photoshop;TRUE;$149,00;62.654;2.141;80;Beginner Level;6.3 hours;2016-03-15;Graphic Design,,,,,
3917522;Team Building for Business Success;TRUE;$34,00;22.568;124;13;Intermediate Level;31 mins;2021-03-18;Business Finance,,,,,
2813427;Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps;TRUE;$199,00;94.655;8.473;242;Beginner Level;21.3 hours;2020-02-18;Cyber Security,,,
1721168;PMP Exam Cram Session - Updated for the 2021 PMP Exam;TRUE;$99,00;32.838;6.348;116;All Levels;9.3 hours;2018-06-09;Business Finance,,,,,
1551840;Public Speaking for Beginners;TRUE;$49,00;59.677;766;17;All Levels;42 mins;2018-02-13;Public Speaking,,,,,
788986;Get Hired: Bring Your Interview A-Game;FALSE;Free;13.955;127;19;All Levels;2.1 hours;2016-07-27;Public Speaking,,,,,,
22445;Learn to Design a Letterhead - A Beginners Course;FALSE;Free;40.362;760;13;Beginner Level;44 mins;2012-10-10;Graphic Design,,,,,,
3907012;Data Science Real-World Case Studies - Hands On Python;TRUE;$1,00;52.189;351;62;All Levels;10.8 hours;2021-03-13;Web Development,,,,,
3228751;Product Owner PSPO 1 Scrum Product Owner Certification 2022;TRUE;$189,00;22.545;1.869;97;All Levels;7.6 hours;2020-10-17;Business Finance,,,,,
2142298;Complete Guide to Maschine Mk3;TRUE;$39,00;5.702;1.522;33;Beginner Level;4 hours;2019-01-17;Musical Instruments,,,,,
